,pdfname,tablePages_list,table.Headers_list,countCat_words,unique compliant Categories_list,energy_system_tbl,table_idx_list,unique Cats all,simScores for cleanup,simScores for ES
0,Green_social_bond_framework_series_ad_ae_2019,"[3, 6, 7]","[['Category', 'Project name', 'Goal'], ['Categories of\nEligible Projects', 'Type of\nProject', 'Results\nIndicators', 'Environmental\nImpact Indicators', 'Social Impact\nindicators'], ['Col0', 'Col1', 'Col2', 'degrading uses;\nISO 14,046).', 'Col4']]",2,"['potable water supply', 'sanitation']",False,"[0, 0, 0, 1, 1, 1]","['potable water supply', 'sanitation', 'resilient infrastructure']","                                     0
potable water supply water    0.846944
potable water supply potable  0.828760
sanitation sanitation         1.000000","Empty DataFrame
Columns: []
Index: []"
1,ISA_CTM_FRAMEWORK,"[4, 5, 7, 8, 9, 15, 16, 17, 18]","[['Eligible Project Category', 'Questions', 'Alignment to the UN SDGs'], ['Col0', '• Investments including smart grid projects, smart\nsensors/meters, and automation systems to improve\nenergy efficiency of the grid\nInvestments into energy storage systems\n• Acquisition, connection, construction, development and/or\noperation of energy storage and battery systems to support\nstabilizing of the grid and management of peak/valley\nenergy generation', 'Col2'], ['Col0', 'Green Bond ISA CTM 2034'], ['Maturity', 'April 16, 2034'], ['Col0', 'Col1', 'Col2', 'Mantaro-Nueva Yanango-Carapongo and\nassociated', 'Finance\nGreen Project', 'Col5'], ['Project', 'Impact', 'Description'], ['Col0', 'Col1', 'connected to the power station. The ring connection is constituted as\na direct contribution so that the Central can evacuate its energy to the\nsystem more reliably.'], ['Col0', 'Col1', 'the Mantaro and Cerro del Águila power plants, to reach more\nimportant and reliable loads in the country, such as: the city of\nAyacucho, the DoeRun Mine and the cities of Ayacucho and VRAEM\n(Valley of Apurimac, Ene and Mantaro), cities that for several years\nsuffered from an unreliable energy supply.'], ['Col0', 'Reduction of Non-Green Energies', 'Thanks to the abundant water resources, the central zone of Peru is a\nlarge nucleus of hydroelectric generation. To the emblematic complex\nof the Mantaro, the construction of two important projects, the Cerro\ndel Águila Power Plant and the Chaglla Power Plant, have been added\nin recent years, their joint generation is around 2,000 MW. The YANA-\nCOYA projects will contribute to the efficient transport of the large\namount of energy coming from these two plants.\nThese projects are integrated with each other and will allow to meet\nthrough the National Interconnected Electric System the expected\nincrease in the demand for electric power, as well as the strengthening\nof the electric transmission capacity in the central zone of Peru and\nLima in a timely manner and with quality.']]",2,"['energy efficiency', 'renewable energy']",True,"[0, 0]","['energy efficiency', 'renewable energy']","                                     0
energy efficiency renewable   0.665412
energy efficiency efficiency  0.900489
renewable energy renewable    0.920116
renewable energy solar        0.703799","             0
renewable  1.0"
2,CABEI_Green_Bond_Framework,"[7, 8, 9, 10, 12]","[['Eligible\nGreen\nProjects\nCategories', 'Sub-categories', 'Definition of Eligibility criteria', 'Environmental\nbenefits', 'Alignment\nwith the\nUN SDGs'], ['Col0', 'Col1', 'Stewardship Council (FSC),\nProgramme for the Endorsement\nof Forest Certification systems\n(PEFC) or equivalent\n▪ Forest regeneration:\nExpenditures related to the\nrestoration and conservation of\nexisting native forests, forest\nplantations, and preservation\nand extension of indigenous\nresource rights', 'Col3', 'Col4'], ['Col0', 'Col1', 'Agriculture Movements\n(IFOAM)\n▪ Integrated Production\nSystems: Improved moisture\nretention, biota of soil\napproach which combines\ncrop-forestry-livestock,\nexcluding beef and palm oil\nproduction.\nNAMA Projects: Grants and\nloans that support the\nexpansion of Nationally\nAppropriate Mitigation\nAction (NAMA) projects\naimed at coffee and cocoa\nfarmers and mill operators\nthat adopt low-carbon\ntechnologies and practices.', 'Col3', 'Col4'], ['Col0', 'Water\ndistribution3', '▪ Installation or upgrade of water\nefficient irrigation systems\n▪ Construction or upgrade of\nsustainable infrastructure for\ndrinking water', 'Col3', 'Col4'], ['Eligible Green\nProjects\nCategories', 'Sub-categories', 'Examples of output\nindicators', 'Examples of impact indicators']]",3,"['renewable energy', 'sustainable land use', 'water management']",True,"[0, 4, 4, 4, 4]","['clean transport', 'renewable energy', 'sustainable land use', 'water management']","                                   0
renewable energy renewable  0.920116
renewable energy solar      0.703799
sustainable land use land   0.758695
water management water      0.811947","             0
renewable  1.0"
3,CAFs_GREEN_BOND_FRAMEWORK,"[1, 2, 8, 9]","[['Measure of Units', 'Col1'], ['Graphics', 'Content'], ['Eligible Green Project\nCategories', 'Eligibility criteria'], ['Water management and\nprojects', 'Financing sustainable equipment, development, manufacturing,\nconstruction, operation and maintenance of:\n- Clean and/or drinking water\n- Wastewater treatment\n- Sustainable urban drainage systems\n- Flood and drought protection']]",4,"['clean transportation', 'renewable energy', 'waste management', 'sustainable management of living natural resources and land use']",True,"[2, 2, 2, 2]","['clean transportation', 'renewable energy', 'waste management', 'sustainable management of living natural resources and land use']","                                                           0
clean transportation transportation                 0.816690
renewable energy renewable                          0.920116
renewable energy solar                              0.703799
waste management waste                              0.828647
sustainable management of living natural resour...  0.674387","             0
renewable  1.0"
4,"BTG_Pactual_Green,_Social_and_Sustainable_Financing_Framework","[15, 16, 17, 19]","[['Green\nProject\nCategory', 'Use of\nProceeds', 'Eligibility\nCriteria', 'Objectives', 'Beneftis', 'SDG\nAlignment'], ['Green\nProject\nCategory', 'Use of\nProceeds', 'Eligibility\nCriteria', 'Objectives', 'Beneftis', 'SDG\nAlignment'], ['Social Project\nCategory', 'Use of\nProceeds', 'Target\nPopulations', 'Objectives', 'Beneftis', 'SDG\nAlignment'], ['Project Category', 'Reporting indicators']]",6,"['clean transportation', 'sustainable water and wastewater management', 'renewable energy', 'green buildings', 'energy efcfi iency', 'afof rdable housing']",True,"[0, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3]","['clean transportation', 'sustainable water and wastewater management', 'renewable energy', 'afof rdable basic infrastructure', 'green buildings', 'energy efcfi iency', 'afof rdable housing']","                                                           0
clean transportation transportation                 0.816690
sustainable water and wastewater management waste   0.658628
sustainable water and wastewater management water   0.755144
sustainable water and wastewater management was...  0.741459
renewable energy renewable                          0.920116
renewable energy solar                              0.703799
green buildings buildings                           0.839943
energy efcfi iency renewable                        0.682400
energy efcfi iency power                            0.657853
afof rdable housing housing                         1.000000","             0
renewable  1.0"
5,Sicredi_Green_Bond_Framework,"[4, 6]","[['Eligible\nCategories', 'Description', 'Objectives &\nbenefits', 'SDG Target'], ['Indicator', 'Description']]",2,"['energy efficiency', 'renewable energy']",True,"[0, 0]","['energy efficiency', 'renewable energy']","                                     0
energy efficiency renewable   0.665412
energy efficiency efficiency  0.900489
renewable energy renewable    0.920116
renewable energy solar        0.703799","             0
renewable  1.0"
6,Green_Bond_Financing_Framework,"[7, 8, 10]","[['Eligible Category aligned\nwith ICMA Green Bond\nPrinciples', 'Eligibility Criteria', 'SDG Alignment'], ['Energy Efficiency', 'Expenditures primarily dedicated to\nLithium extraction and processing for\napplication in the manufacture of\nbatteries for Energy Storage.', 'SQM’s expenditures support progress\ntowards SDG targets 7.1, 7.2 and 7.3,\nby enabling the provision of efficient\nand renewable energy services.'], ['Project Category', 'Example Key Performance Indicator']]",2,"['clean transportation', 'energy efficiency']",False,"[0, 2, 2]","['clean transportation', 'energy efficiency']","                                            0
clean transportation transportation  0.816690
energy efficiency renewable          0.665412
energy efficiency efficiency         0.900489","Empty DataFrame
Columns: []
Index: []"
7,Green_Bond_Framework_of_Banco_Guayaquil,"[6, 7, 8, 9, 10, 18, 19, 29, 30, 31, 38, 39]","[['GBP Eligible\nGreen Assets\nCategory', 'Banco Guayaquil Eligibility Criteria', 'SDGs goals\nand targets'], ['Col0', 'Examples:\n• Installation of electronic systems for the\ncontrol and/or reduction of energy use\nin buildings.\n• Expenditures on upgrades to heating,\nventilation, air conditioning, lighting\n(replacement to LED lights), motion\ndetector systems, skylights, building\nenvelopes (insulation, cool roofing, air\nsealing, etc.), etc.\n• Replacement, production, or purchase of\nmachinery/equipment with Energy Star\nseals5, rating A, AA, A+ (Ecuador), Energy\nSystem or Inverter.\nExclusions:\n• Projects involving fossil fuels.\n• Projects whose improvements in energy\nefficiency are less than 20% (without\nincreasing production capacity).', '9.4'], ['Col0', 'o For hydroelectric installations in\noperation during or after 2020: that\nhave a power density > 10W/m2; or\ngenerate GHG emissions < 50g\nCO e/kWh.\n2\n• Geothermal energy6: development,\nconstruction, and operation of\ngeothermal power generation facilities;\ngeothermal projects with mitigation\ntechnologies that will make emissions of\nnon-condensable gases to the\natmosphere negligible; geothermal\nprojects reviewed and registered under\nthe Clean Development Mechanism7.\n• Development, construction, installation,\nand maintenance of biomass facilities\nthat avoid negative impacts on\nbiodiversity, ecosystems, and High\nConservation Value areas (that do not\ncompete with food production, deplete\nexisting terrestrial resources and carbon\nstocks or other areas of high biodiversity).\n• Cogeneration energy, using 100%\nrenewable energy.\nExclusions:\n• Generation projects based on fossil fuels.\n• Nuclear energy projects.\n• Geothermal energy and cogeneration\nprojects with direct emissions above 100g\nCO /kWh.\n2\n• Biomass projects not from agroforestry\nresidues and/or sustainable sources (EU\ntaxonomy, Annex IX, part A).\n• Hydroelectric projects with a capacity\ngreater than 10MW.', '12.4'], ['living natural\nresources', 'A) Environmentally sustainable agriculture\nand forestry projects; climate-smart\nagricultural inputs, such as biological crop\nprotection or drip irrigation;\nenvironmentally sustainable fisheries and\naquaculture; sustainable forestry; and\nconservation or restoration of natural\nlandscapes.\nExamples:\n• Afforestation or reforestation of degraded\nareas (with increased GHG sequestration)\nor sustainable management of planted\nforests.\n• Precision agriculture; purchase of\nmachinery, technological change and\nmore efficient and/or low-carbon\nagriculture projects; drip, micro-sprinkler,\nor more efficient irrigation systems; use of\norganic fertilizers.\n• Projects/producers with international\nenvironmental and social certifications\nincluded in Annex 5.\nExclusions:\n• Livestock projects.', '12.2\n15.a'], ['Col0', 'energy use, emissions, water use and\nwaste by at least 30%.\nExamples:\n• New buildings or improvements to\nexisting buildings that improve air quality,\nuse materials with a lower environmental\nfootprint, allow soil remediation or\nregeneration, and/or allow better\ntransportation connectivity, achieving a\nminimum level of efficiency as indicated\nin subsection B or obtaining any of the\ncertifications mentioned in subsection A.', 'Col2'], ['Indicator', 'Measurement\nunit', 'Description'], ['Water consumption\nsavings', 'm³', '= Water consumption in m3 (per year)\navoided or reduced due to the project\nimplementation'], ['Col0', 'Col1', 'Col2', 'Col3'], ['Col0', 'Col1', 'Col2', 'Col3'], ['Col0', 'Col1', 'Col2', 'Col3'], ['Col0', 'Col1', 'Col2'], ['Col0', 'Col1', '•\n•\n•']]",2,"['energy efficiency', 'renewable energy']",True,"[0, 1, 1, 1, 1]","['energy efficiency', 'renewable energy']","                                     0
energy efficiency renewable   0.665412
energy efficiency efficiency  0.900489
renewable energy renewable    0.920116
renewable energy solar        0.703799","             0
renewable  1.0"
8,Green_Finance_Framework_Interchile,[8],"[['Eligible Project Category', 'Questions', 'Alignment to the UN SDGs']]",3,"['energy efficiency', 'renewable energy', 'climate change adaptation']",True,"[0, 0, 0]","['renewable energy', 'energy efficiency', 'climate change adaptation']","                                             0
renewable energy renewable            0.920116
renewable energy solar                0.703799
energy efficiency renewable           0.665412
energy efficiency efficiency          0.900489
climate change adaptation adaptation  0.708394","             0
renewable  1.0"
9,Chile_Sustainable_Bond_Framework,"[0, 19, 20, 21, 22, 23, 24, 25, 26, 30, 37, 38, 42]","[['Col0', 'Ministry of\nFinance\nGovernment of Chile'], ['Green Sectors', 'Eligible Green Expenditures', 'Col2', 'Environmental Benefits', 'Contributions'], ['Green Sectors', 'Eligible Green Expenditures', 'Col2', 'Environmental Benefits', 'Contributions'], ['Green Sectors', 'Eligible Green Expenditures', 'Col2', 'Environmental Benefits', 'Contributions'], ['Green Sectors', 'Eligible Green Expenditures', 'Col2', 'Environmental Benefits', 'Contributions'], ['Eligible\nCategory', 'Eligibility Criteria', 'Col2', 'Social Benefit', 'Contribution to\nMDGs'], ['Eligible\nCategory', 'Eligibility Criteria', 'Col2', 'Social Benefit', 'Contribution to\nMDGs'], ['Eligible\nCategory', 'Eligibility Criteria', 'Col2', 'Social Benefit', 'Contribution to\nMDGs'], ['Eligible\nCategory', 'Eligibility Criteria', 'Col2', 'Social Benefit', 'Contribution to\nMDGs'], ['Ministry of\nFinance\nTreasury\nGeneral Account\nMinistry A Ministry B Ministry n\nProject 1 Project 2 Project 3', 'Col1', 'Col2', 'Col3', 'Col4', 'Col5'], ['Eligible Green\nCategory', 'Example of Indicator', 'Environmental Impact\nIndicator'], ['Eligible Social Category', 'Example of Indicator'], ['Col0', 'Ministry of\nFinance\nGovernment of Chile']]",8,"['energy efficiency', 'access to basic housing', 'renewable energy', 'access to affordable housing', 'green buildings (ecological buildings)', 'natural resources, use of land and protected marine areas', 'food security', 'water management']",True,"[5, 5, 5, 5, 6, 6, 7, 7, 7, 8, 8, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11]","['support for the community through job creation', 'support for older adults or persons with special needs who belong to vulnerable sectors', 'clean transport', 'access to education', 'support for human rights victims', 'access to essential health services', 'energy efficiency', 'access to basic housing', 'social programs designed to prevent and/ or alleviate unemployment derived from socioeconomic crises, including through the potential effect of financing smes and micro finances.', 'renewable energy', 'access to affordable housing', 'support for low-income families', 'green buildings (ecological buildings)', 'natural resources, use of land and protected marine areas', 'food security', 'support for the elderly or people with special needs in vulnerable situation', 'water management', 'social programs designed to prevent and/or alleviate unemployment stemming from the socioeconomic crisis, even through the potential effect of financing of the smes and micro finances']","                                                           0
energy efficiency renewable                         0.665412
energy efficiency efficiency                        0.900489
access to basic housing housing                     0.690239
renewable energy renewable                          0.920116
renewable energy solar                              0.703799
access to affordable housing housing                0.736917
green buildings (ecological buildings) buildings    0.801658
natural resources, use of land and protected ma...  0.669165
food security food                                  0.779881
water management water                              0.811947","             0
renewable  1.0"
